data,nr_super_noroc
2011-04-07,662610
2011-04-10,555772
2011-04-14,034000
2011-04-17,213312
2011-04-21,169224
2011-04-24,439305
2011-04-28,836406
2011-05-01,770382
2011-05-05,502036
2011-05-08,346622
2011-05-12,446613
2011-05-15,134756
2011-05-19,995428
2011-05-22,442440
2011-05-26,446843
2011-05-29,898521
2011-06-02,017049
2011-06-05,929278
2011-06-09,395337
2011-06-12,810745
2011-06-16,497199
2011-06-19,705429
2011-06-23,457972
2011-06-26,704057
2011-06-30,514451
2011-07-03,896177
2011-07-07,114696
2011-07-10,127143
2011-07-14,079762
2011-07-17,530674
2011-07-21,362961
2011-07-24,706309
2011-07-28,571979
2011-07-31,220374
2011-08-04,521657
2011-08-07,398784
2011-08-11,777950
2011-08-14,740509
2011-08-18,210352
2011-08-21,180972
2011-08-25,149278
2011-08-28,588779
2011-09-01,164083
2011-09-04,171916
2011-09-08,550445
2011-09-11,452160
2011-09-15,662782
2011-09-18,255149
2011-09-22,944007
2011-09-25,442052
2011-09-29,269606
2011-10-02,943334
2011-10-06,226234
2011-10-09,162646
2011-10-13,781554
2011-10-16,646976
2011-10-20,728533
2011-10-23,981973
2011-10-27,919066
2011-10-30,541511
2011-11-03,432998
2011-11-06,979219
2011-11-10,808855
2011-11-13,899938
2011-11-17,316863
2011-11-20,434611
2011-11-24,057154
2011-11-27,334280
2011-12-01,690154
2011-12-04,266737
2011-12-08,070365
2011-12-11,752636
2011-12-15,717077
2011-12-18,879103
2011-12-22,955750
2011-12-30,024855
2012-01-05,450095
2012-01-08,361846
2012-01-12,159746
2012-01-15,400363
2012-01-19,904508
2012-01-22,379549
2012-01-26,812384
2012-01-29,156733
2012-02-02,922494
2012-02-05,801733
2012-02-09,401994
2012-02-12,868737
2012-02-16,918565
2012-02-19,520686
2012-02-23,640027
2012-02-26,996956
2012-03-01,451242
2012-03-04,559284
2012-03-08,866846
2012-03-11,198999
2012-03-15,240656
2012-03-18,382864
2012-03-22,842603
2012-03-25,435960
2012-03-29,125068
2012-04-01,053832
2012-04-05,702475
2012-04-08,008476
2012-04-15,020049
2012-04-19,774678
2012-04-22,500613
2012-04-26,272435
2012-04-29,546432
2012-05-03,118272
2012-05-06,330878
2012-05-10,555370
2012-05-13,160275
2012-05-17,157092
2012-05-20,496882
2012-05-24,850371
2012-05-27,345544
2012-05-31,496169
2012-06-03,031848
2012-06-07,256062
2012-06-10,413091
2012-06-14,287906
2012-06-17,784303
2012-06-21,863397
2012-06-24,315143
2012-06-28,768125
2012-07-01,877668
2012-07-05,507368
2012-07-08,593635
2012-07-12,738301
2012-07-15,420357
2012-07-19,789022
2012-07-22,586480
2012-07-26,827717
2012-07-29,508039
2012-08-02,428508
2012-08-05,479359
2012-08-09,696348
2012-08-12,477013
2012-08-16,770408
2012-08-19,806233
2012-08-23,137782
2012-08-26,391497
2012-08-30,103013
2012-09-02,530875
2012-09-06,780150
2012-09-09,023967
2012-09-16,282224
2012-09-20,603356
2012-09-23,749392
2012-09-27,534045
2012-09-30,342242
2012-10-04,672918
2012-10-07,893682
2012-10-11,288031
2012-10-14,722556
2012-10-18,448369
2012-10-21,589908
2012-10-25,313655
2012-10-28,155126
2012-11-01,708607
2012-11-04,222769
2012-11-08,779624
2012-11-11,721413
2012-11-15,416980
2012-11-18,168760
2012-11-22,828791
2012-11-25,470053
2012-11-29,301351
2012-12-02,766639
2012-12-06,602975
2012-12-09,817370
2012-12-13,540591
2012-12-16,408169
2012-12-20,548572
2012-12-23,889487
2012-12-30,654060
2013-01-06,243326
2013-01-10,309170
2013-01-13,056587
2013-01-17,027752
2013-01-20,286851
2013-01-24,464639
2013-01-27,713902
2013-01-31,930886
2013-02-03,345239
2013-02-07,960240
2013-02-10,799741
2013-02-14,623278
2013-02-17,692117
2013-02-21,058495
2013-02-24,174587
2013-02-28,253300
2013-03-03,913410
2013-03-07,810299
2013-03-10,145102
2013-03-14,133514
2013-03-17,061722
2013-03-21,464959
2013-03-24,242197
2013-03-28,870771
2013-03-31,451127
2013-04-04,592957
2013-04-07,437435
2013-04-11,549657
2013-04-14,584002
2013-04-18,467653
2013-04-21,210851
2013-04-25,559836
2013-04-28,597780
2013-05-05,979396
2013-05-09,934153
2013-05-12,583451
2013-05-16,095350
2013-05-19,560120
2013-05-23,481145
2013-05-26,373242
2013-05-30,358823
2013-06-02,370977
2013-06-06,014356
2013-06-09,364257
2013-06-13,426514
2013-06-16,382216
2013-06-20,810251
2013-06-23,981561
2013-06-27,433297
2013-06-30,417186
2013-07-04,413525
2013-07-07,125812
2013-07-11,210135
2013-07-14,418731
2013-07-18,580730
2013-07-21,240245
2013-07-25,924020
2013-07-28,382613
2013-08-01,452826
2013-08-04,758503
2013-08-08,687574
2013-08-11,143516
2013-08-15,664706
2013-08-18,731790
2013-08-22,443571
2013-08-25,283960
2013-08-29,085038
2013-09-01,372269
2013-09-05,194128
2013-09-08,765852
2013-09-15,194211
2013-09-19,823516
2013-09-22,036768
2013-09-26,151496
2013-09-29,398543
2013-10-03,645153
2013-10-06,293642
2013-10-10,239579
2013-10-13,322451
2013-10-17,840046
2013-10-20,871560
2013-10-24,031610
2013-10-27,311527
2013-10-31,191396
2013-11-03,807052
2013-11-07,997456
2013-11-10,647922
2013-11-14,695536
2013-11-17,569771
2013-11-21,349070
2013-11-24,357777
2013-11-28,715737
2013-12-01,076969
2013-12-05,386734
2013-12-08,200284
2013-12-12,009356
2013-12-15,874663
2013-12-19,835157
2013-12-22,821014
2013-12-30,646087
2014-01-05,061531
2014-01-09,652076
2014-01-12,329859
2014-01-16,791377
2014-01-19,037702
2014-01-23,037702
2014-01-26,596722
2014-01-30,871994
2014-02-02,444776
2014-02-06,107781
2014-02-09,585495
2014-02-13,659660
2014-02-16,569083
2014-02-20,093696
2014-02-23,407493
2014-02-27,932915
2014-03-02,566985
2014-03-06,109819
2014-03-09,834411
2014-03-13,366341
2014-03-16,468270
2014-03-20,880151
2014-03-23,256057
2014-03-27,300942
2014-03-30,523323
2014-04-03,407465
2014-04-06,066039
2014-04-10,145844
2014-04-13,657322
2014-04-20,162206
2014-04-24,601731
2014-04-27,111877
2014-05-01,703535
2014-05-04,535709
2014-05-08,219833
2014-05-11,145471
2014-05-15,453093
2014-05-18,087215
2014-05-22,622723
2014-05-25,176387
2014-05-29,678286
2014-06-01,089351
2014-06-05,989686
2014-06-08,295795
2014-06-12,398677
2014-06-15,902140
2014-06-19,255035
2014-06-22,726573
2014-06-26,538545
2014-06-29,607229
2014-07-03,976340
2014-07-06,609346
2014-07-10,828719
2014-07-13,912593
2014-07-17,052154
2014-07-20,056737
2014-07-24,670289
2014-07-27,216864
2014-07-31,672297
2014-08-03,642335
2014-08-07,940383
2014-08-10,353776
2014-08-14,988782
2014-08-17,345495
2014-08-21,814070
2014-08-24,629074
2014-08-28,845235
2014-08-31,259576
2014-09-04,411794
2014-09-07,289530
2014-09-14,647040
2014-09-18,037854
2014-09-21,966721
2014-09-25,792696
2014-09-28,320938
2014-10-02,129177
2014-10-05,770990
2014-10-09,435391
2014-10-12,824050
2014-10-16,242195
2014-10-19,064387
2014-10-23,550318
2014-10-26,938435
2014-10-30,903509
2014-11-02,435266
2014-11-06,581956
2014-11-09,903256
2014-11-13,002684
2014-11-16,784897
2014-11-20,202769
2014-11-23,635754
2014-11-27,390759
2014-11-30,663594
2014-12-04,774127
2014-12-07,465869
2014-12-11,992574
2014-12-14,885304
2014-12-18,035513
2014-12-21,078043
2014-12-30,365543
2015-01-11,958545
2015-01-15,381449
2015-01-18,296307
2015-01-22,467284
2015-01-25,976817
2015-01-29,056526
2015-02-01,101332
2015-02-05,940217
2015-02-08,903867
2015-02-12,118111
2015-02-15,655810
2015-02-19,440040
2015-02-22,544537
2015-02-26,898360
2015-03-01,945472
2015-03-05,696938
2015-03-08,245347
2015-03-12,655199
2015-03-15,596633
2015-03-19,526819
2015-03-22,523048
2015-03-26,884696
2015-03-29,723326
2015-04-02,673336
2015-04-05,568476
2015-04-09,617876
2015-04-12,016295
2015-04-16,059949
2015-04-19,358440
2015-04-23,360957
2015-04-26,788783
2015-04-30,391937
2015-05-03,633045
2015-05-07,130379
2015-05-10,567054
2015-05-14,076428
2015-05-17,657701
2015-05-21,722905
2015-05-24,039390
2015-05-28,729213
2015-05-31,051050
2015-06-04,969536
2015-06-07,669122
2015-06-11,062942
2015-06-14,398175
2015-06-18,755254
2015-06-21,707710
2015-06-25,067829
2015-06-28,296785
2015-07-02,564825
2015-07-05,242956
2015-07-09,797906
2015-07-12,547692
2015-07-16,860190
2015-07-19,941132
2015-07-23,047719
2015-07-26,618957
2015-07-30,976302
2015-08-02,387595
2015-08-06,783909
2015-08-09,706757
2015-08-13,375887
2015-08-16,281929
2015-08-20,672802
2015-08-23,394139
2015-08-27,870683
2015-08-30,642801
2015-09-03,296466
2015-09-06,051939
2015-09-13,220663
2015-09-17,279811
2015-09-20,853844
2015-09-24,830033
2015-09-27,823034
2015-10-01,350697
2015-10-04,565699
2015-10-08,630392
2015-10-11,558912
2015-10-15,910599
2015-10-18,981902
2015-10-22,818359
2015-10-25,377685
2015-10-29,694046
2015-11-01,837854
2015-11-05,130998
2015-11-08,727781
2015-11-12,255439
2015-11-15,759948
2015-11-19,814459
2015-11-22,954505
2015-11-26,387531
2015-11-29,245548
2015-12-03,823995
2015-12-06,883206
2015-12-10,309066
2015-12-13,750291
2015-12-17,996510
2015-12-20,190190
2015-12-30,041034
2016-01-07,345105
2016-01-10,953284
2016-01-14,892205
2016-01-17,830146
2016-01-21,621448
2016-01-24,810474
2016-01-28,665075
2016-01-31,751099
2016-02-04,699394
2016-02-07,880655
2016-02-11,080024
2016-02-14,640883
2016-02-18,131568
2016-02-21,362534
2016-02-25,331357
2016-02-28,917700
2016-03-03,796346
2016-03-06,707619
2016-03-10,726528
2016-03-13,004028
2016-03-17,344154
2016-03-20,391487
2016-03-24,450178
2016-03-27,036080
2016-03-31,819701
2016-04-03,912801
2016-04-07,825439
2016-04-10,654607
2016-04-14,631453
2016-04-17,411051
2016-04-21,311232
2016-04-24,738319
2016-05-01,621850
2016-05-05,499967
2016-05-08,458732
2016-05-12,083840
2016-05-15,701606
2016-05-19,329139
2016-05-22,718918
2016-05-26,777762
2016-05-29,386549
2016-06-02,162215
2016-06-05,004329
2016-06-09,863357
2016-06-12,452260
2016-06-16,421924
2016-06-19,669611
2016-06-23,216016
2016-06-26,288965
2016-06-30,711621
2016-07-03,101540
2016-07-07,728455
2016-07-10,101617
2016-07-14,368307
2016-07-17,060039
2016-07-21,758921
2016-07-24,314946
2016-07-28,214698
2016-07-31,604124
2016-08-04,040498
2016-08-07,435544
2016-08-11,380191
2016-08-14,519528
2016-08-18,408247
2016-08-21,254525
2016-08-25,191733
2016-08-28,034699
2016-09-01,708157
2016-09-04,871036
2016-09-08,861459
2016-09-11,492793
2016-09-15,088287
2016-09-18,488412
2016-09-22,813116
2016-09-25,834437
2016-09-29,709160
2016-10-02,727987
2016-10-06,573983
2016-10-09,002703
2016-10-13,268456
2016-10-16,987509
2016-10-20,210936
2016-10-23,494096
2016-10-27,760714
2016-10-30,468000
2016-11-03,056056
2016-11-06,661733
2016-11-10,390475
2016-11-13,985689
2016-11-17,956284
2016-11-20,514859
2016-11-24,956336
2016-11-27,851623
2016-12-04,100338
2016-12-08,031193
2016-12-11,665306
2016-12-15,982384
2016-12-18,943853
2016-12-22,039264
2016-12-31,153775
2017-01-05,587600
2017-01-08,179306
2017-01-12,511371
2017-01-15,553523
2017-01-19,567941
2017-01-22,363968
2017-01-26,477739
2017-01-29,730406
2017-02-02,157004
2017-02-05,120003
2017-02-09,319303
2017-02-12,529645
2017-02-16,057604
2017-02-19,818831
2017-02-23,483489
2017-02-26,920114
2017-03-02,812101
2017-03-05,992807
2017-03-09,571479
2017-03-12,794577
2017-03-16,011915
2017-03-19,368582
2017-03-23,092541
2017-03-26,609598
2017-03-30,966132
2017-04-02,381608
2017-04-06,897976
2017-04-09,974783
2017-04-16,054531
2017-04-20,812065
2017-04-23,014318
2017-04-27,748982
2017-04-30,599921
2017-05-04,234073
2017-05-07,316245
2017-05-11,449062
2017-05-14,788952
2017-05-18,064574
2017-05-21,490964
2017-05-25,044236
2017-05-28,769639
2017-06-01,901151
2017-06-04,292916
2017-06-08,810337
2017-06-11,924244
2017-06-15,006401
2017-06-18,513493
2017-06-22,987608
2017-06-25,997609
2017-06-29,954484
2017-07-02,364544
2017-07-06,313403
2017-07-09,789338
2017-07-13,072908
2017-07-16,605818
2017-07-20,127785
2017-07-23,591147
2017-07-27,034939
2017-07-30,149336
2017-08-03,857043
2017-08-06,870072
2017-08-10,038314
2017-08-13,483367
2017-08-17,608101
2017-08-20,990976
2017-08-24,219732
2017-08-27,833874
2017-08-31,632481
2017-09-03,123705
2017-09-07,714888
2017-09-10,862134
2017-09-17,781121
2017-09-21,008047
2017-09-24,929365
2017-09-28,873617
2017-10-01,668211
2017-10-05,423214
2017-10-08,270849
2017-10-12,753362
2017-10-15,118685
2017-10-19,150668
2017-10-22,560030
2017-10-26,199354
2017-10-29,913954
2017-11-02,322344
2017-11-05,588411
2017-11-09,499948
2017-11-12,052726
2017-11-16,277094
2017-11-19,227286
2017-11-23,756607
2017-11-26,319121
2017-11-30,929609
2017-12-03,579144
2017-12-07,202223
2017-12-10,281027
2017-12-14,375157
2017-12-17,736507
2017-12-21,140191
2017-12-24,376564
2017-12-31,139137
2018-01-04,817636
2018-01-07,040353
2018-01-11,310247
2018-01-14,202271
2018-01-18,560060
2018-01-21,357113
2018-01-25,571915
2018-01-28,751368
2018-02-01,136790
2018-02-04,408135
2018-02-08,335119
2018-02-11,968166
2018-02-15,122518
2018-02-18,500453
2018-02-22,509167
2018-02-25,287781
2018-03-01,404802
2018-03-04,712723
2018-03-08,523329
2018-03-11,909430
2018-03-15,815267
2018-03-18,419207
2018-03-22,255656
2018-03-25,946437
2018-03-29,283097
2018-04-01,684319
2018-04-08,303608
2018-04-12,262935
2018-04-15,430000
2018-04-19,456500
2018-04-22,122835
2018-04-26,376036
2018-04-29,643753
2018-05-03,831214
2018-05-06,259347
2018-05-10,656944
2018-05-13,686983
2018-05-17,310133
2018-05-20,065039
2018-05-24,708891
2018-05-27,248833
2018-05-31,391528
2018-06-03,641294
2018-06-07,601360
2018-06-10,096068
2018-06-14,161872
2018-06-17,324001
2018-06-21,250829
2018-06-24,882206
2018-06-28,584773
2018-07-01,922708
